City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,cabedelo,-6.9811,-34.8339,31.37,70,19,2.68,BR,1682620327
319,penticton,49.4806,-119.5858,18.66,18,75,5.14,CA,1682620327
320,progreso,21.2833,-89.6667,37.84,42,100,2.6,MX,1682620328
321,naze,28.3667,129.4833,19.51,71,88,4.92,JP,1682620328
322,inhambane,-23.865,35.3833,24.99,78,20,4.12,MZ,1682620328
323,san luis de la loma,17.2706,-100.8939,30.14,52,76,4.48,MX,1682620329
324,colonia,50.9333,6.95,14.97,44,0,3.09,DE,1682620059
325,suntar,62.1444,117.6319,-6.23,100,99,1.11,RU,1682620329
326,loralai,30.3705,68.598,19.2,43,87,0.65,PK,1682620330
327,banamba,13.55,-7.45,32.71,7,8,4.56,ML,1682620330
328,kununurra,-15.7667,128.7333,22.99,94,12,0.0,AU,1682620330
329,general roca,-39.0333,-67.5833,27.57,25,15,4.06,AR,1682620330
330,gaiman,-43.2897,-65.4929,20.23,28,97,3.81,AR,1682620032
331,don sak,9.3168,99.6918,27.55,80,94,3.09,TH,1682620331
332,pokaran,26.9167,71.9167,27.05,38,100,4.07,IN,1682620331
333,southport,53.6478,-3.0065,12.02,64,40,6.17,GB,1682620332
334,south venice,27.0531,-82.4243,32.02,77,0,7.2,US,1682620332
335,hasaki,35.7333,140.8333,13.45,70,5,6.66,JP,1682620332
336,ko samui,9.5357,99.9357,29.13,73,92,3.45,TH,1682620333
337,merizo village,13.2658,144.6691,27.31,89,22,8.59,GU,1682620333
338,dakhla,23.6848,-15.958,21.01,73,0,6.17,EH,1682620333
339,vinukonda,16.05,79.75,26.87,82,0,4.05,IN,1682620334
340,isiro,2.7739,27.616,19.9,96,22,0.44,CD,1682620334
341,ostersund,63.1792,14.6357,2.25,93,20,4.12,SE,1682620335
342,santo antonio do ica,-3.1022,-67.9397,31.39,61,87,2.59,BR,1682620335
343,remire-montjoly,4.9167,-52.2667,28.02,78,75,1.03,GF,1682620335
344,fort bragg,35.139,-79.006,18.84,82,100,4.63,US,1682620335
345,waingapu,-9.6567,120.2641,27.29,81,85,5.32,ID,1682620141
346,dikhil,11.5,42.1667,23.97,69,100,10.93,DJ,1682620336
347,mangai,-4.05,19.5333,23.71,83,7,0.08,CD,1682620336
348,port saint john's,-31.6229,29.5448,21.95,84,56,4.7,ZA,1682620337
349,kyshtovka,56.555,76.6271,13.95,55,100,2.27,RU,1682620337
350,obidos,-1.9175,-55.5181,30.18,64,89,2.21,BR,1682620338
351,pangody,65.85,74.4859,-7.08,92,100,6.34,RU,1682620338
352,luderitz,-26.6481,15.1594,15.74,73,0,4.74,NA,1682620338
353,vadso,70.0744,29.7487,4.49,87,0,6.69,NO,1682620339
354,gazojak,41.1875,61.4036,22.96,11,2,4.41,TM,1682620339
355,matamey,13.4231,8.4749,32.99,17,100,2.82,NE,1682620340
356,touros,-5.1989,-35.4608,27.35,82,100,2.81,BR,1682620340
357,palikir - national government center,6.9248,158.1611,26.41,89,100,2.57,FM,1682620340
358,shiqian,27.5225,108.2281,16.89,98,100,0.86,CN,1682620076
359,meerut,28.9833,77.7,27.4,27,49,3.05,IN,1682620341
360,nichlaul,27.3167,83.7333,26.18,28,0,1.23,IN,1682620341
361,semera,11.501,41.201,27.65,52,99,8.49,ET,1682620341
